id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
10854,6532,AJANA,WA,115.004595,-28.440886,GERALDTON DC,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-27.840242,114.6924329,50805121715.0,51104129208.0,511041292.0,Northampton - Mullewa - Greenough,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Chapman Valley,51610.0,Durack,Rural
10621,6535,ALMA,WA,114.852437,-27.832196,NORTHAMPTON LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-28.2863732,114.6480482,50805121708.0,51104129217.0,511041292.0,Northampton - Mullewa - Greenough,51104.0,Mid West,511.0,Western Australia - Outback (South),3.0,3.0,5.0,5.0,Durack,239.413665771484,W2,PHN503,Country WA,Northampton,56790.0,Durack,Rural
10631,6536,KALBARRI,WA,114.379678,-27.541838,KALBARRI LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-27.7104192,114.1646201,50805121717.0,51104129211.0,511041292.0,Northampton - Mullewa - Greenough,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Northampton,56790.0,Durack,Rural
10634,6537,DENHAM,WA,114.627287,-26.904889,DENHAM LPO,Delivery Area,Updated 6-Feb-2020,50802.0,Gascoyne,508.0,Western Australia - Outback,R3,-25.927196,113.5423745,50802119713.0,51102127702.0,511021277.0,Exmouth,51102.0,Gascoyne,511.0,Western Australia - Outback (South),5.0,5.0,7.0,7.0,Durack,143.0,W2,PHN503,Country WA,Shark Bay,57770.0,Durack,Rural
10641,6556,BEECHINA,WA,116.310249,-31.860591,CHIDLOW LPO,Delivery Area,Updated 6-Feb-2020,50402.0,Mundaring,504.0,Perth - North East,R2,-31.8589871,116.3139052,50402104902.0,50402104902.0,504021049.0,Chidlow,50402.0,Mundaring,504.0,Perth - North East,2.0,2.0,2.0,2.0,Hasluck,281.310913085938,W2,PHN501,Perth North,Mundaring,56090.0,Hasluck,Outer Metropolitan
10646,6558,WOOROLOO,WA,116.313391,-31.771446,WOOROLOO LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R2,-31.8029829,116.3131356,50402104901.0,50402104901.0,504021049.0,Chidlow,50402.0,Mundaring,504.0,Perth - North East,2.0,2.0,2.0,2.0,Hasluck,226.904724121094,W2,PHN501,Perth North,Mundaring,56090.0,Hasluck,Outer Metropolitan
10647,6560,WUNDOWIE,WA,116.428564,-31.817666,WUNDOWIE LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.7501607,116.3603652,50902124309.0,50902124309.0,509021243.0,Northam,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,2.0,2.0,5.0,5.0,Pearce,321.030364990234,W2,PHN503,Country WA,Mundaring,56090.0,Pearce,Outer Metropolitan
10648,6562,BAKERS HILL,WA,116.473434,-31.746189,BAKERS HILL LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.7494294,116.4569355,50902124330.0,50902124330.0,509021243.0,Northam,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,2.0,2.0,5.0,5.0,Pearce,305.644165039063,W2,PHN503,Country WA,Northam,56730.0,Pearce,Outer Metropolitan
10651,6564,CLACKLINE,WA,116.538966,-31.726613,CLACKLINE CPA,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.7094264,116.5196956,50902124335.0,50902124335.0,509021243.0,Northam,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,2.0,2.0,5.0,5.0,Pearce,244.52978515625,W2,PHN503,Country WA,Northam,56730.0,Pearce,Outer Metropolitan
10652,6566,BEJOORDING,WA,116.38064,-31.484853,TOODYAY LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.383264,116.5339136,50902124410.0,50902124410.0,509021244.0,Toodyay,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Pearce,,W2,PHN503,Country WA,Toodyay,58330.0,Pearce,Outer Metropolitan
